period,metric,value
2020-06-01,НДД,0.1
2020-07-01,НДД,8.8
2020-08-01,НДД,0.4
2020-09-01,НДД,0.2
2020-10-01,НДД,51.3
2020-11-01,НДД,-1.6
2020-12-01,НДД,0.2
2021-01-01,НДД,0.0
2021-02-01,НДД,-0.2
2021-03-01,НДД,43.1
2021-04-01,НДД,267.7
2021-05-01,НДД,2.8
2021-06-01,НДД,-0.3
2021-07-01,НДД,328.5
2021-08-01,НДД,0.3
2021-09-01,НДД,0.6
2021-10-01,НДД,365.8
2021-11-01,НДД,0.0
2021-12-01,НДД,0.2
2022-01-01,НДД,0.4
2022-02-01,НДД,-2.4
2022-03-01,НДД,225.9
2022-04-01,НДД,765.9
2022-05-01,НДД,28.6
2022-06-01,НДД,5.1
2022-07-01,НДД,306.3
2022-08-01,НДД,42.8
2022-09-01,НДД,1.3
2022-10-01,НДД,302.3
2022-11-01,НДД,7.6
2022-12-01,НДД,1.3
2023-01-01,НДД,-9.3
2023-02-01,НДД,0.0
2023-03-01,НДД,220.6
2023-04-01,НДД,185.4
2023-05-01,НДД,5.4
2023-06-01,НДД,0.9
2023-07-01,НДД,294.5
2023-08-01,НДД,3.3
2023-09-01,НДД,3.4
2023-10-01,НДД,592.9
2023-11-01,НДД,2.0
2023-12-01,НДД,-6.4
2024-01-01,НДД,-0.1
2024-02-01,НДД,-0.4
2024-03-01,НДД,587.5
2024-04-01,НДД,452.5
2024-05-01,НДД,2.4
2024-06-01,НДД,0.3
2024-07-01,НДД,496.7
2024-08-01,НДД,15.0
2024-09-01,НДД,0.5
2024-10-01,НДД,491.6
2024-11-01,НДД,0.3
2024-12-01,НДД,2.7
2025-01-01,НДД,-1.7
2025-02-01,НДД,0.5
2025-03-01,НДД,487.1
2025-04-01,НДД,489.2
2025-05-01,НДД,3.0
2025-06-01,НДД,0.1
2025-07-01,НДД,302.2
2025-08-01,НДД,1.3
2025-09-01,НДД,-0.4
2025-10-01,НДД,327.8
2025-11-01,НДД,3.9
2025-12-01,НДД,0.9
2026-01-01,НДД,-0.6
2026-02-01,НДД,-0.5
2026-03-01,НДД,191.5
2026-04-01,НДД,259.7
2018-01-01,Базовый месячный объем нефтегазовых доходов,399.7
2018-02-01,Базовый месячный объем нефтегазовых доходов,380.1
2018-03-01,Базовый месячный объем нефтегазовых доходов,345.1
2018-04-01,Базовый месячный объем нефтегазовых доходов,374.7
2018-05-01,Базовый месячный объем нефтегазовых доходов,387.1
2018-06-01,Базовый месячный объем нефтегазовых доходов,396.9
2018-07-01,Базовый месячный объем нефтегазовых доходов,367.1
2018-08-01,Базовый месячный объем нефтегазовых доходов,393.8
2018-09-01,Базовый месячный объем нефтегазовых доходов,412.8
2018-10-01,Базовый месячный объем нефтегазовых доходов,428.3
2018-11-01,Базовый месячный объем нефтегазовых доходов,438.8
2018-12-01,Базовый месячный объем нефтегазовых доходов,431.9
2019-01-01,Базовый месячный объем нефтегазовых доходов,469.7
2019-02-01,Базовый месячный объем нефтегазовых доходов,442.6
2019-03-01,Базовый месячный объем нефтегазовых доходов,408.3
2019-04-01,Базовый месячный объем нефтегазовых доходов,435.9
2019-05-01,Базовый месячный объем нефтегазовых доходов,397.1
2019-06-01,Базовый месячный объем нефтегазовых доходов,403.5
2019-07-01,Базовый месячный объем нефтегазовых доходов,394.9
2019-08-01,Базовый месячный объем нефтегазовых доходов,393.9
2019-09-01,Базовый месячный объем нефтегазовых доходов,398.9
2019-10-01,Базовый месячный объем нефтегазовых доходов,419.8
2019-11-01,Базовый месячный объем нефтегазовых доходов,411.2
2019-12-01,Базовый месячный объем нефтегазовых доходов,391.6
2020-01-01,Базовый месячный объем нефтегазовых доходов,383.2
2020-02-01,Базовый месячный объем нефтегазовых доходов,421.2
2020-03-01,Базовый месячный объем нефтегазовых доходов,413.5
2020-04-01,Базовый месячный объем нефтегазовых доходов,493.4
2020-05-01,Базовый месячный объем нефтегазовых доходов,462.5
2020-06-01,Базовый месячный объем нефтегазовых доходов,447.7
2020-07-01,Базовый месячный объем нефтегазовых доходов,481.3
2020-08-01,Базовый месячный объем нефтегазовых доходов,452.9
2020-09-01,Базовый месячный объем нефтегазовых доходов,475.9
2020-10-01,Базовый месячный объем нефтегазовых доходов,533.0
2020-11-01,Базовый месячный объем нефтегазовых доходов,502.8
2020-12-01,Базовый месячный объем нефтегазовых доходов,490.3
2021-01-01,Базовый месячный объем нефтегазовых доходов,420.2
2021-02-01,Базовый месячный объем нефтегазовых доходов,468.1
2021-03-01,Базовый месячный объем нефтегазовых доходов,489.7
2021-04-01,Базовый месячный объем нефтегазовых доходов,679.9
2021-05-01,Базовый месячный объем нефтегазовых доходов,437.3
2021-06-01,Базовый месячный объем нефтегазовых доходов,429.3
2021-07-01,Базовый месячный объем нефтегазовых доходов,579.4
2021-08-01,Базовый месячный объем нефтегазовых доходов,443.0
2021-09-01,Базовый месячный объем нефтегазовых доходов,459.1
2021-10-01,Базовый месячный объем нефтегазовых доходов,583.2
2021-11-01,Базовый месячный объем нефтегазовых доходов,455.6
2021-12-01,Базовый месячный объем нефтегазовых доходов,444.7
2022-01-01,Базовый месячный объем нефтегазовых доходов,442.5
2022-02-01,Базовый месячный объем нефтегазовых доходов,544.8
2022-03-01,Базовый месячный объем нефтегазовых доходов,587.6
2022-04-01,Базовый месячный объем нефтегазовых доходов,799.4
2022-05-01,Базовый месячный объем нефтегазовых доходов,385.6
2022-06-01,Базовый месячный объем нефтегазовых доходов,312.3
2022-07-01,Базовый месячный объем нефтегазовых доходов,421.4
2022-08-01,Базовый месячный объем нефтегазовых доходов,301.7
2022-09-01,Базовый месячный объем нефтегазовых доходов,343.3
2022-10-01,Базовый месячный объем нефтегазовых доходов,846.6
2022-11-01,Базовый месячный объем нефтегазовых доходов,757.5
2022-12-01,Базовый месячный объем нефтегазовых доходов,766.2
2023-01-01,Базовый месячный объем нефтегазовых доходов,585.1
2023-02-01,Базовый месячный объем нефтегазовых доходов,669.8
2023-03-01,Базовый месячный объем нефтегазовых доходов,675.5
2023-04-01,Базовый месячный объем нефтегазовых доходов,670.3
2023-05-01,Базовый месячный объем нефтегазовых доходов,671.7
2023-06-01,Базовый месячный объем нефтегазовых доходов,663.8
2023-07-01,Базовый месячный объем нефтегазовых доходов,653.4
2023-08-01,Базовый месячный объем нефтегазовых доходов,671.8
2023-09-01,Базовый месячный объем нефтегазовых доходов,671.3
2023-10-01,Базовый месячный объем нефтегазовых доходов,684.0
2023-11-01,Базовый месячный объем нефтегазовых доходов,689.1
2023-12-01,Базовый месячный объем нефтегазовых доходов,694.3
2024-01-01,Базовый месячный объем нефтегазовых доходов,712.7
2024-02-01,Базовый месячный объем нефтегазовых доходов,827.9
2024-03-01,Базовый месячный объем нефтегазовых доходов,983.1
2024-04-01,Базовый месячный объем нефтегазовых доходов,1151.9
2024-05-01,Базовый месячный объем нефтегазовых доходов,667.2
2024-06-01,Базовый месячный объем нефтегазовых доходов,661.3
2024-07-01,Базовый месячный объем нефтегазовых доходов,984.8
2024-08-01,Базовый месячный объем нефтегазовых доходов,658.6
2024-09-01,Базовый месячный объем нефтегазовых доходов,682.1
2024-10-01,Базовый месячный объем нефтегазовых доходов,1043.1
2024-11-01,Базовый месячный объем нефтегазовых доходов,727.4
2024-12-01,Базовый месячный объем нефтегазовых доходов,731.2
2025-01-01,Базовый месячный объем нефтегазовых доходов,758.3
2025-02-01,Базовый месячный объем нефтегазовых доходов,682.1
2025-03-01,Базовый месячный объем нефтегазовых доходов,1060.0
2025-04-01,Базовый месячный объем нефтегазовых доходов,923.3
2025-05-01,Базовый месячный объем нефтегазовых доходов,533.1
2025-06-01,Базовый месячный объем нефтегазовых доходов,530.1
2025-07-01,Базовый месячный объем нефтегазовых доходов,828.3
2025-08-01,Базовый месячный объем нефтегазовых доходов,521.6
2025-09-01,Базовый месячный объем нефтегазовых доходов,575.4
2025-10-01,Базовый месячный объем нефтегазовых доходов,884.1
2025-11-01,Базовый месячный объем нефтегазовых доходов,561.0
2025-12-01,Базовый месячный объем нефтегазовых доходов,535.5
2026-01-01,Базовый месячный объем нефтегазовых доходов,575.5
2026-02-01,Базовый месячный объем нефтегазовых доходов,585.5
2026-03-01,Базовый месячный объем нефтегазовых доходов,851.3
2026-04-01,Базовый месячный объем нефтегазовых доходов,834.6
2018-01-01,Дополнительные нефтегазовые доходы,261.7
2018-02-01,Дополнительные нефтегазовые доходы,248.1
2018-03-01,Дополнительные нефтегазовые доходы,225.0
2018-04-01,Дополнительные нефтегазовые доходы,255.9
2018-05-01,Дополнительные нефтегазовые доходы,297.5
2018-06-01,Дополнительные нефтегазовые доходы,363.2
2018-07-01,Дополнительные нефтегазовые доходы,382.2
2018-08-01,Дополнительные нефтегазовые доходы,423.8
2018-09-01,Дополнительные нефтегазовые доходы,387.4
2018-10-01,Дополнительные нефтегазовые доходы,491.7
2018-11-01,Дополнительные нефтегазовые доходы,520.7
2018-12-01,Дополнительные нефтегазовые доходы,404.3
2019-01-01,Дополнительные нефтегазовые доходы,211.0
2019-02-01,Дополнительные нефтегазовые доходы,243.9
2019-03-01,Дополнительные нефтегазовые доходы,217.8
2019-04-01,Дополнительные нефтегазовые доходы,293.3
2019-05-01,Дополнительные нефтегазовые доходы,300.7
2019-06-01,Дополнительные нефтегазовые доходы,298.1
2019-07-01,Дополнительные нефтегазовые доходы,266.1
2019-08-01,Дополнительные нефтегазовые доходы,230.7
2019-09-01,Дополнительные нефтегазовые доходы,201.6
2019-10-01,Дополнительные нефтегазовые доходы,248.9
2019-11-01,Дополнительные нефтегазовые доходы,177.5
2019-12-01,Дополнительные нефтегазовые доходы,267.3
2020-01-01,Дополнительные нефтегазовые доходы,232.8
2020-02-01,Дополнительные нефтегазовые доходы,187.1
2020-03-01,Дополнительные нефтегазовые доходы,150.1
2020-04-01,Дополнительные нефтегазовые доходы,-58.8
2020-05-01,Дополнительные нефтегазовые доходы,-248.3
2020-06-01,Дополнительные нефтегазовые доходы,-223.3
2020-07-01,Дополнительные нефтегазовые доходы,-140.3
2020-08-01,Дополнительные нефтегазовые доходы,-48.0
2020-09-01,Дополнительные нефтегазовые доходы,-28.8
2020-10-01,Дополнительные нефтегазовые доходы,-58.4
2020-11-01,Дополнительные нефтегазовые доходы,-49.0
2020-12-01,Дополнительные нефтегазовые доходы,-37.4
2021-01-01,Дополнительные нефтегазовые доходы,70.6
2021-02-01,Дополнительные нефтегазовые доходы,76.8
2021-03-01,Дополнительные нефтегазовые доходы,92.8
2021-04-01,Дополнительные нефтегазовые доходы,209.9
2021-05-01,Дополнительные нефтегазовые доходы,183.6
2021-06-01,Дополнительные нефтегазовые доходы,217.7
2021-07-01,Дополнительные нефтегазовые доходы,414.6
2021-08-01,Дополнительные нефтегазовые доходы,252.8
2021-09-01,Дополнительные нефтегазовые доходы,259.8
2021-10-01,Дополнительные нефтегазовые доходы,524.7
2021-11-01,Дополнительные нефтегазовые доходы,429.1
2021-12-01,Дополнительные нефтегазовые доходы,434.4
2022-01-01,Дополнительные нефтегазовые доходы,352.1
2022-02-01,Дополнительные нефтегазовые доходы,426.9
2022-03-01,Дополнительные нефтегазовые доходы,620.5
2022-04-01,Дополнительные нефтегазовые доходы,998.3
2022-05-01,Дополнительные нефтегазовые доходы,500.4
2022-06-01,Дополнительные нефтегазовые доходы,405.6
2022-07-01,Дополнительные нефтегазовые доходы,349.2
2022-08-01,Дополнительные нефтегазовые доходы,370.2
2022-09-01,Дополнительные нефтегазовые доходы,344.9
2022-10-01,Дополнительные нефтегазовые доходы,435.1
2022-11-01,Дополнительные нефтегазовые доходы,108.9
2022-12-01,Дополнительные нефтегазовые доходы,165.3
2023-01-01,Дополнительные нефтегазовые доходы,-159.6
2023-02-01,Дополнительные нефтегазовые доходы,-148.6
2023-03-01,Дополнительные нефтегазовые доходы,12.7
2023-04-01,Дополнительные нефтегазовые доходы,-22.799999999999955
2023-05-01,Дополнительные нефтегазовые доходы,-101.0
2023-06-01,Дополнительные нефтегазовые доходы,-135.2
2023-07-01,Дополнительные нефтегазовые доходы,157.9
2023-08-01,Дополнительные нефтегазовые доходы,-29.1
2023-09-01,Дополнительные нефтегазовые доходы,68.5
2023-10-01,Дополнительные нефтегазовые доходы,950.6
2023-11-01,Дополнительные нефтегазовые доходы,272.6
2023-12-01,Дополнительные нефтегазовые доходы,-43.8
2024-01-01,Дополнительные нефтегазовые доходы,-37.5
2024-02-01,Дополнительные нефтегазовые доходы,117.7
2024-03-01,Дополнительные нефтегазовые доходы,324.4
2024-04-01,Дополнительные нефтегазовые доходы,77.1
2024-05-01,Дополнительные нефтегазовые доходы,126.5
2024-06-01,Дополнительные нефтегазовые доходы,85.3
2024-07-01,Дополнительные нефтегазовые доходы,94.5
2024-08-01,Дополнительные нефтегазовые доходы,120.0
2024-09-01,Дополнительные нефтегазовые доходы,89.8
2024-10-01,Дополнительные нефтегазовые доходы,168.70000000000005
2024-11-01,Дополнительные нефтегазовые доходы,74.3
2024-12-01,Дополнительные нефтегазовые доходы,59.1
2025-01-01,Дополнительные нефтегазовые доходы,30.8
2025-02-01,Дополнительные нефтегазовые доходы,89.2
2025-03-01,Дополнительные нефтегазовые доходы,21.3
2025-04-01,Дополнительные нефтегазовые доходы,162.29999999999995
2025-05-01,Дополнительные нефтегазовые доходы,-20.4
2025-06-01,Дополнительные нефтегазовые доходы,-35.3
2025-07-01,Дополнительные нефтегазовые доходы,-40.9
2025-08-01,Дополнительные нефтегазовые доходы,-16.6
2025-09-01,Дополнительные нефтегазовые доходы,7.0
2025-10-01,Дополнительные нефтегазовые доходы,4.4
2025-11-01,Дополнительные нефтегазовые доходы,-30.1
2025-12-01,Дополнительные нефтегазовые доходы,-87.6
2026-01-01,Дополнительные нефтегазовые доходы,-182.2
2026-02-01,Дополнительные нефтегазовые доходы,-153.2
2026-03-01,Дополнительные нефтегазовые доходы,-234.3
2026-04-01,Дополнительные нефтегазовые доходы,21.0
2018-01-01,Объем покупки (продажи) иностранной валюты и золота**,257.1
2018-02-01,Объем покупки (продажи) иностранной валюты и золота**,298.1
2018-03-01,Объем покупки (продажи) иностранной валюты и золота**,192.5
2018-04-01,Объем покупки (продажи) иностранной валюты и золота**,240.7
2018-05-01,Объем покупки (продажи) иностранной валюты и золота**,322.8
2018-06-01,Объем покупки (продажи) иностранной валюты и золота**,379.7
2018-07-01,Объем покупки (продажи) иностранной валюты и золота**,347.7
2018-08-01,Объем покупки (продажи) иностранной валюты и золота**,383.2
2018-09-01,Объем покупки (продажи) иностранной валюты и золота**,426.9
2018-10-01,Объем покупки (продажи) иностранной валюты и золота**,475.7
2018-11-01,Объем покупки (продажи) иностранной валюты и золота**,525.8
2018-12-01,Объем покупки (продажи) иностранной валюты и золота**,366.1
2019-01-01,Объем покупки (продажи) иностранной валюты и золота**,265.8
2019-02-01,Объем покупки (продажи) иностранной валюты и золота**,194.0
2019-03-01,Объем покупки (продажи) иностранной валюты и золота**,310.0
2019-04-01,Объем покупки (продажи) иностранной валюты и золота**,255.4
2019-05-01,Объем покупки (продажи) иностранной валюты и золота**,300.5
2019-06-01,Объем покупки (продажи) иностранной валюты и золота**,310.3
2019-07-01,Объем покупки (продажи) иностранной валюты и золота**,231.0
2019-08-01,Объем покупки (продажи) иностранной валюты и золота**,246.2
2019-09-01,Объем покупки (продажи) иностранной валюты и золота**,187.1
2019-10-01,Объем покупки (продажи) иностранной валюты и золота**,212.7
2019-11-01,Объем покупки (продажи) иностранной валюты и золота**,228.2
2019-12-01,Объем покупки (продажи) иностранной валюты и золота**,195.5
2020-01-01,Объем покупки (продажи) иностранной валюты и золота**,309.9
2020-02-01,Объем покупки (продажи) иностранной валюты и золота**,214.2
2020-03-01,Объем покупки (продажи) иностранной валюты и золота**,133.3
2020-04-01,Объем покупки (продажи) иностранной валюты и золота**,-77.8
2020-05-01,Объем покупки (продажи) иностранной валюты и золота**,-193.1
2020-06-01,Объем покупки (продажи) иностранной валюты и золота**,-203.7
2020-07-01,Объем покупки (продажи) иностранной валюты и золота**,-125.6
2020-08-01,Объем покупки (продажи) иностранной валюты и золота**,-64.9
2020-09-01,Объем покупки (продажи) иностранной валюты и золота**,-54.0
2020-10-01,Объем покупки (продажи) иностранной валюты и золота**,-126.9
2020-11-01,Объем покупки (продажи) иностранной валюты и золота**,-50.1
2020-12-01,Объем покупки (продажи) иностранной валюты и золота**,-50.8
2021-01-01,Объем покупки (продажи) иностранной валюты и золота**,106.3
2021-02-01,Объем покупки (продажи) иностранной валюты и золота**,45.6
2021-03-01,Объем покупки (продажи) иностранной валюты и золота**,148.1
2021-04-01,Объем покупки (продажи) иностранной валюты и золота**,185.7
2021-05-01,Объем покупки (продажи) иностранной валюты и золота**,123.7
2021-06-01,Объем покупки (продажи) иностранной валюты и золота**,220.9
2021-07-01,Объем покупки (продажи) иностранной валюты и золота**,296.0
2021-08-01,Объем покупки (продажи) иностранной валюты и золота**,315.9
2021-09-01,Объем покупки (продажи) иностранной валюты и золота**,327.1
2021-10-01,Объем покупки (продажи) иностранной валюты и золота**,317.6
2021-11-01,Объем покупки (продажи) иностранной валюты и золота**,518.2
2021-12-01,Объем покупки (продажи) иностранной валюты и золота**,502.0
2022-01-01,Объем покупки (продажи) иностранной валюты и золота**,585.9
2022-02-01,Объем покупки (продажи) иностранной валюты и золота**,634.7
2023-01-01,Объем покупки (продажи) иностранной валюты и золота**,-54.5
2023-02-01,Объем покупки (продажи) иностранной валюты и золота**,-160.2
2023-03-01,Объем покупки (продажи) иностранной валюты и золота**,-119.8
2023-04-01,Объем покупки (продажи) иностранной валюты и золота**,-74.6
2023-05-01,Объем покупки (продажи) иностранной валюты и золота**,-40.4
2023-06-01,Объем покупки (продажи) иностранной валюты и золота**,-74.6
2023-07-01,Объем покупки (продажи) иностранной валюты и золота**,-34.9
2023-08-01,Объем покупки (продажи) иностранной валюты и золота**,40.5
2023-09-01,Объем покупки (продажи) иностранной валюты и золота**,276.2
2023-10-01,Объем покупки (продажи) иностранной валюты и золота**,398.7
2023-11-01,Объем покупки (продажи) иностранной валюты и золота**,621.1
2023-12-01,Объем покупки (продажи) иностранной валюты и золота**,244.8
2024-01-01,Объем покупки (продажи) иностранной валюты и золота**,-69.1
2024-02-01,Объем покупки (продажи) иностранной валюты и золота**,73.2
2024-03-01,Объем покупки (продажи) иностранной валюты и золота**,93.7
2024-04-01,Объем покупки (продажи) иностранной валюты и золота**,235.3
2024-05-01,Объем покупки (продажи) иностранной валюты и золота**,110.9
2024-06-01,Объем покупки (продажи) иностранной валюты и золота**,71.1
2024-07-01,Объем покупки (продажи) иностранной валюты и золота**,123.8
2024-08-01,Объем покупки (продажи) иностранной валюты и золота**,24.7
2024-09-01,Объем покупки (продажи) иностранной валюты и золота**,172.9
2024-10-01,Объем покупки (продажи) иностранной валюты и золота**,71.8
2024-11-01,Объем покупки (продажи) иностранной валюты и золота**,87.5
2024-12-01,Объем покупки (продажи) иностранной валюты и золота**,114.4
2025-01-01,Объем покупки (продажи) иностранной валюты и золота**,70.2
2025-02-01,Объем покупки (продажи) иностранной валюты и золота**,66.5
2025-03-01,Объем покупки (продажи) иностранной валюты и золота**,60.1
2025-04-01,Объем покупки (продажи) иностранной валюты и золота**,-35.9
2025-05-01,Объем покупки (продажи) иностранной валюты и золота**,41.6
2025-06-01,Объем покупки (продажи) иностранной валюты и золота**,28.3
2025-07-01,Объем покупки (продажи) иностранной валюты и золота**,-18.8
2025-08-01,Объем покупки (продажи) иностранной валюты и золота**,-6.2
2025-09-01,Объем покупки (продажи) иностранной валюты и золота**,-31.5
2025-10-01,Объем покупки (продажи) иностранной валюты и золота**,-13.9
2025-11-01,Объем покупки (продажи) иностранной валюты и золота**,-2.7
2025-12-01,Объем покупки (продажи) иностранной валюты и золота**,-123.4
2026-01-01,Объем покупки (продажи) иностранной валюты и золота**,-192.1
2026-02-01,Объем покупки (продажи) иностранной валюты и золота**,-226.8
2026-05-01,Объем покупки (продажи) иностранной валюты и золота**,110.3
2018-01-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,257.1
2018-02-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,293.6
2018-03-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,238.0
2018-04-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,253.8
2018-05-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,320.6
2018-06-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,402.8
2018-07-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,387.3
2018-08-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,388.3
2018-09-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,391.4
2018-10-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,479.7
2018-11-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,513.8
2018-12-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,359.1
2019-01-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,220.6
2019-02-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,203.6
2019-03-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,269.6
2019-04-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,307.2
2019-05-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,314.4
2019-06-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,324.0
2019-07-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,256.9
2019-08-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,237.0
2019-09-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,193.4
2019-10-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,204.5
2019-11-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,183.9
2019-12-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,201.9
2020-01-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,244.5
2020-02-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,226.0
2020-03-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,172.1
2020-04-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-55.8
2020-05-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-190.1
2020-06-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-145.5
2020-07-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-47.8
2020-08-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,27.5
2020-09-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,21.5
2020-10-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-76.6
2020-11-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-68.3
2020-12-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-70.1
2021-01-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,73.5
2021-02-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,47.1
2021-03-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,116.9
2021-04-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,212.6
2021-05-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,176.5
2021-06-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,215.8
2021-07-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,242.0
2021-08-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,258.5
2021-09-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,279.1
2021-10-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,275.3
2021-11-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,409.9
2021-12-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,396.8
2022-01-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,493.2
2022-02-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,709.6
2022-03-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,790.0
2022-04-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,798.4
2022-05-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,414.0
2022-06-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,422.3
2022-07-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,313.0
2022-08-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,359.5
2022-09-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,403.4
2022-10-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,305.6
2022-11-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,282.8
2022-12-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,218.6
2023-01-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-54.5
